fb_taxon_id	taxon_name	taxon_uri	phylum	class	order	family	genus	sl_mm	sl_sex	sl_ref	tl_mm	tl_sex	tl_ref	fl_mm	fl_sex	fl_ref	dw_mm	dw_sex	dw_ref	max_weight_g	max_weight_ref	benthic	pelagic	benthopelagic	bathypelagic	pelagic-neritic	pelagic-oceanic	demersal	reef-associated	anadromous	catadromous	amphidromous	potamodromous	limnodromous	oceanodromous	non-migratory	freshwater	brackish	marine	use_fisheries	use_aquaculture	use_gamefish	use_bait	use_aquarium	use_ref	phylo_div	phylo_div_ref	troph_level	troph_level_se	troph_level_ref	resil	resil_ref	resil_K	resil_tm	resil_tmax	resil_fec	vulnerab	vulnerab_ref	price	price_ref	main_ref
147	Thunnus thynnus	http://www.fishbase.org/summary/speciessummary.php?id=147	Chordata	Actinopterygii	Perciformes	Scombridae	Thunnus				4580	male/unsexed	26340							684000	26340		1				1								1			1	1	commercial	commercial	yes			4931;12108;4699	0.5039	82805	4.5	0.8	69278	4.5 - 14 years	120179	0.05-0.06	3-5	15	10 million	82	59153	very high	80766	33246
9209	Amphiprion percula	http://www.fishbase.org/summary/speciessummary.php?id=9209	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				110	male/unsexed	9710																1							1			1	of no interest				commercial	4537	0.5000	82805	2.7	0.3	69278	less than 15 months	120179					21	59153			7247
1043	Sardinella aurita	http://www.fishbase.org/summary/speciessummary.php?id=1043	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Sardinella				310	male/unsexed	3259							229	5217								1						1			1	1	highly commercial			usually		4931;5217	0.5000	82805	3.4	0.5	69278	less than 15 months	120179	0.25-1.2	1			37	59153	medium	80766	188
69	Gadus morhua	http://www.fishbase.org/summary/speciessummary.php?id=69	Chordata	Actinopterygii	Gadiformes	Gadidae	Gadus				2000	male/unsexed	1371							96000	9988			1											1			1	1	highly commercial	commercial	yes			4931;12108;4699;12253	0.6250	82805	4.1	0.2	69278	1.4 - 4.4 years	120179					65	59153	medium	80766	1371
57723	Hoplias patana	http://www.fishbase.org/summary/speciessummary.php?id=57723	Chordata	Actinopterygii	Characiformes	Erythrinidae	Hoplias																	1													1									0.5001	82805	4.1	0.7	69278		120179					38	59153			37025
46860	Lythrypnus lavenbergi	http://www.fishbase.org/summary/speciessummary.php?id=46860	Chordata	Actinopterygii	Perciformes	Gobiidae	Lythrypnus																					1											1							0.5000	82805	3.2	0.4	69278	less than 15 months	120179					10	59153			11482
13127	Neoarius utarus	http://www.fishbase.org/summary/speciessummary.php?id=13127	Chordata	Actinopterygii	Siluriformes	Ariidae	Neoarius	550	male/unsexed	2847										1,700.0				1													1			subsistence fisheries						0.5010	82805	3.0	0.47	69278	4.5 - 14 years	120179					59	59153	medium	80766	2847
63425	Tryssogobius porosus	http://www.fishbase.org/summary/speciessummary.php?id=63425	Chordata	Actinopterygii	Perciformes	Gobiidae	Tryssogobius	26																1															1							0.5078	82805	3.1	0.3	69278	less than 15 months	120179					10	59153			58420
50937	Pseudobagrus eupogoides	http://www.fishbase.org/summary/speciessummary.php?id=50937	Chordata	Actinopterygii	Siluriformes	Bagridae	Pseudobagrus																					1									1									0.5000	82805	3.4	0.3	69278	1.4 - 4.4 years	120179					35	59153			6868
57985	Hyphessobrycon wajat	http://www.fishbase.org/summary/speciessummary.php?id=57985	Chordata	Actinopterygii	Characiformes	Characidae	Hyphessobrycon	31	male/unsexed	38376														1													1									0.5000	82805	2.9	0.3	69278		120179					10	59153			38376
8469	Kumococius rodericensis	http://www.fishbase.org/summary/speciessummary.php?id=8469	Chordata	Actinopterygii	Scorpaeniformes	Platycephalidae	Kumococius				250	male/unsexed	3476															1											1	minor commercial					9700	1.0000	82805	3.7	0.6	69278	less than 15 months	120179					25	59153	high	80766	11441
9460	Clariallabes variabilis	http://www.fishbase.org/summary/speciessummary.php?id=9460	Chordata	Actinopterygii	Siluriformes	Clariidae	Clariallabes				158	male/unsexed	3820															1									1									0.5000	82805	3.6	0.5	69278	less than 15 months	120179					15	59153	unknown	80766	3820
4047	Artedius harringtoni	http://www.fishbase.org/summary/speciessummary.php?id=4047	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Artedius				100	male/unsexed	2850															1											1					public aquariums	9183	0.5312	82805	3.4	0.52	69278	1.4 - 4.4 years	120179					30	59153			2850
8724	Hypnos monopterygius	http://www.fishbase.org/summary/speciessummary.php?id=8724	Chordata	Elasmobranchii	Torpediniformes	Torpedinidae	Hypnos				700	male/unsexed	2272																1										1	of no interest					4537	1.5000	82805	3.7	0.57	69278		120179					48	59153			35766
60824	Paraclinus walkeri	http://www.fishbase.org/summary/speciessummary.php?id=60824	Chordata	Actinopterygii	Perciformes	Labrisomidae	Paraclinus																					1											1							0.5000	82805	3.5	0.4	69278		120179					10	59153			13293
55175	Gerres decacanthus	http://www.fishbase.org/summary/speciessummary.php?id=55175	Chordata	Actinopterygii	Perciformes	Gerreidae	Gerres	91	male/unsexed	30392														1													1	1	1							0.5000	82805	3.2	0.3	69278	less than 15 months	120179					12	59153			30392
50589	Rineloricaria melini	http://www.fishbase.org/summary/speciessummary.php?id=50589	Chordata	Actinopterygii	Siluriformes	Loricariidae	Rineloricaria	130	male/unsexed	36389																		1									1									0.5000	82805	2.5	0.2	69278		120179					10	59153			36389
4347	Stegastes fasciolatus	http://www.fishbase.org/summary/speciessummary.php?id=4347	Chordata	Actinopterygii	Perciformes	Pomacentridae	Stegastes				150	male/unsexed	9710																1							1			1	minor commercial						0.5000	82805	2.2	0.1	69278	less than 15 months	120179					25	59153	unknown	80766	510
55202	Mugilogobius myxodermus	http://www.fishbase.org/summary/speciessummary.php?id=55202	Chordata	Actinopterygii	Perciformes	Gobiidae	Mugilogobius	34	male/unsexed	43716																		1									1									0.5000	82805	3.4	0.3	69278	less than 15 months	120179					10	59153			43716
23385	Cryptarius truncatus	http://www.fishbase.org/summary/speciessummary.php?id=23385	Chordata	Actinopterygii	Siluriformes	Ariidae	Cryptarius	420	male/unsexed	12693																		1									1	1								0.7500	82805	4.0	0.67	69278	1.4 - 4.4 years	120179					51	59153			12693
9477	Atopochilus chabanaudi	http://www.fishbase.org/summary/speciessummary.php?id=9477	Chordata	Actinopterygii	Siluriformes	Mochokidae	Atopochilus	60	male/unsexed	3202																		1									1									0.5078	82805	3.0	0.4	69278	less than 15 months	120179					10	59153			3202
14150	Pangasius humeralis	http://www.fishbase.org/summary/speciessummary.php?id=14150	Chordata	Actinopterygii	Siluriformes	Pangasiidae	Pangasius	389	male/unsexed	7050														1													1									0.5000	82805	2.9	0.4	69278		120179					37	59153			7432
59247	Gerres silaceus	http://www.fishbase.org/summary/speciessummary.php?id=59247	Chordata	Actinopterygii	Perciformes	Gerreidae	Gerres	107																				1											1							0.5000	82805	3.3	0.3	69278	less than 15 months	120179					13	59153			39283
508	Pterygotrigla polyommata	http://www.fishbase.org/summary/speciessummary.php?id=508	Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Pterygotrigla				620	male/unsexed	9563															1											1	minor commercial				commercial	4931	0.5000	82805	3.9	0.6	69278	1.4 - 4.4 years	120179					57	59153	high	80766	5755
62468	Sinocyclocheilus hei	http://www.fishbase.org/summary/speciessummary.php?id=62468	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Sinocyclocheilus																	1													1																								
56767	Porocottus camtschaticus	http://www.fishbase.org/summary/speciessummary.php?id=56767	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Porocottus																					1											1							0.5020	82805	3.3	0.3	69278	less than 15 months	120179					29	59153			34715
9152	Ipnops agassizii	http://www.fishbase.org/summary/speciessummary.php?id=9152	Chordata	Actinopterygii	Aulopiformes	Ipnopidae	Ipnops	145	male/unsexed	3590																													1							0.6250	82805	3.3	0.4	69278	1.4 - 4.4 years	120179					43	59153			3590
59134	Scopelarchoides climax	http://www.fishbase.org/summary/speciessummary.php?id=59134	Chordata	Actinopterygii	Aulopiformes	Scopelarchidae	Scopelarchoides	99	male/unsexed	40783															1														1	of no interest					40783	0.5313	82805	4.1	0.7	69278		120179					10	59153			40783
22923	Biwia zezera	http://www.fishbase.org/summary/speciessummary.php?id=22923	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Biwia				60	male/unsexed	559															1									1									0.5625	82805	3.1	0.4	69278	less than 15 months	120179					12	59153			559
63209	Diancistrus leisi	http://www.fishbase.org/summary/speciessummary.php?id=63209	Chordata	Actinopterygii	Ophidiiformes	Bythitidae	Diancistrus	46																					1										1							0.5000	82805	3.2	0.5	69278	less than 15 months	120179					10	59153			57884
53285	Leporinus agassizii	http://www.fishbase.org/summary/speciessummary.php?id=53285	Chordata	Actinopterygii	Characiformes	Anostomidae	Leporinus																	1													1									0.5000	82805	2.3	0.2	69278	1.4 - 4.4 years	120179					35	59153			36801
56413	Barathronus pacificus	http://www.fishbase.org/summary/speciessummary.php?id=56413	Chordata	Actinopterygii	Ophidiiformes	Aphyonidae	Barathronus																		1														1	of no interest					34024	0.5005	82805	3.4	0.5	69278		120179					10	59153			34024
